ID,Region,Year,Gini Index
319,Gavião - BA,1991,0.4648
320,Gentio do Ouro - BA,1991,0.4762
321,Glória - BA,1991,0.4594
322,Gongogi - BA,1991,0.5079
323,Governador Mangabeira - BA,1991,0.5014
324,Guajeru - BA,1991,0.6504
325,Guanambi - BA,1991,0.6511
326,Guaratinga - BA,1991,0.5463
327,Heliópolis - BA,1991,0.4131
328,Iaçu - BA,1991,0.5631
329,Ibiassucê - BA,1991,0.6601
330,Ibicaraí - BA,1991,0.6335
331,Ibicoara - BA,1991,0.4653
332,Ibicuí - BA,1991,0.5799
333,Ibipeba - BA,1991,0.515
334,Ibipitanga - BA,1991,0.447
335,Ibiquera - BA,1991,0.4509
336,Ibirapitanga - BA,1991,0.5356
337,Ibirapuã - BA,1991,0.5588
338,Ibirataia - BA,1991,0.5673
339,Ibitiara - BA,1991,0.4583
340,Ibititá - BA,1991,0.4576
341,Ibotirama - BA,1991,0.5707
342,Ichu - BA,1991,0.4637
343,Igaporã - BA,1991,0.5207
344,Igrapiúna - BA,1991,0.3844
345,Iguaí - BA,1991,0.5005
346,Ilhéus - BA,1991,0.6262
347,Inhambupe - BA,1991,0.5007
348,Ipecaetá - BA,1991,0.4976
349,Ipiaú - BA,1991,0.6709
350,Ipirá - BA,1991,0.487
351,Ipupiara - BA,1991,0.5541
352,Irajuba - BA,1991,0.4906
353,Iramaia - BA,1991,0.4267
354,Iraquara - BA,1991,0.5801
355,Irará - BA,1991,0.5416
356,Irecê - BA,1991,0.622
357,Itabela - BA,1991,0.6696
358,Itaberaba - BA,1991,0.6632
359,Itabuna - BA,1991,0.6705
360,Itacaré - BA,1991,0.5551
361,Itaeté - BA,1991,0.4565
362,Itagi - BA,1991,0.5758
363,Itagibá - BA,1991,0.4624
364,Itagimirim - BA,1991,0.5249
365,Itaguaçu da Bahia - BA,1991,0.3625
366,Itaju do Colônia - BA,1991,0.4782
367,Itajuípe - BA,1991,0.5998
368,Itamaraju - BA,1991,0.6432
369,Itamari - BA,1991,0.5948
370,Itambé - BA,1991,0.5537
371,Itanagra - BA,1991,0.4184
372,Itanhém - BA,1991,0.6077
373,Itaparica - BA,1991,0.6096
374,Itapé - BA,1991,0.5147
375,Itapebi - BA,1991,0.5019
376,Itapetinga - BA,1991,0.6535
377,Itapicuru - BA,1991,0.4024
378,Itapitanga - BA,1991,0.5169
379,Itaquara - BA,1991,0.5119
380,Itarantim - BA,1991,0.5279
381,Itatim - BA,1991,0.4622
382,Itiruçu - BA,1991,0.5576
383,Itiúba - BA,1991,0.508
384,Itororó - BA,1991,0.5502
385,Ituaçu - BA,1991,0.5053
386,Ituberá - BA,1991,0.529
387,Iuiú - BA,1991,0.5313
388,Jaborandi - BA,1991,0.3865
389,Jacaraci - BA,1991,0.4527
390,Jacobina - BA,1991,0.6104
391,Jaguaquara - BA,1991,0.5242
392,Jaguarari - BA,1991,0.5589
393,Jaguaripe - BA,1991,0.4699
394,Jandaíra - BA,1991,0.4378
395,Jequié - BA,1991,0.6093
396,Jeremoabo - BA,1991,0.4374
397,Jiquiriçá - BA,1991,0.4753
398,Jitaúna - BA,1991,0.4273
399,João Dourado - BA,1991,0.5666
400,Juazeiro - BA,1991,0.5895
401,Jucuruçu - BA,1991,0.5233
402,Jussara - BA,1991,0.4524
403,Jussari - BA,1991,0.4459
404,Jussiape - BA,1991,0.4785
405,Lafaiete Coutinho - BA,1991,0.3749
406,Lagoa Real - BA,1991,0.7735
407,Laje - BA,1991,0.5001
408,Lajedão - BA,1991,0.621
409,Lajedinho - BA,1991,0.4167
410,Lajedo do Tabocal - BA,1991,0.4001
411,Lamarão - BA,1991,0.4549
412,Lapão - BA,1991,0.5388
413,Lauro de Freitas - BA,1991,0.6904
414,Lençóis - BA,1991,0.5747
415,Licínio de Almeida - BA,1991,0.5285
416,Livramento do Brumado - BA,1991,0.5697
417,Macajuba - BA,1991,0.426
418,Macarani - BA,1991,0.5274
